date,action,price,shares,cash_remaining,total_value
2023-08-04,SELL,180.18594360351562,0.0,1000000.0,1000000.0
2023-08-07,BUY,177.07705688476562,5647.0,45.859771728515625,1000000.0
2024-03-21,SELL,170.3412322998047,5647.0,961962.7985687256,961962.7985687256
2024-03-22,BUY,171.24578857421875,5617.0,75.20414733886719,961962.7985687256
2024-07-11,SELL,226.51068115234375,5617.0,1272385.7001800537,1272385.7001800537
2024-07-12,BUY,229.46685791015625,5544.0,221.43992614746094,1272385.7001800537
2024-07-16,SELL,233.7269287109375,5544.0,1296003.532699585,1296003.532699585
