date,action,price,shares,cash_remaining,total_value
2023-07-19,BUY,193.16598510742188,5176.0,172.861083984375,1000000.0
2023-09-28,SELL,169.22613525390625,5176.0,876087.3371582031,876087.3371582031
2023-12-11,BUY,191.77560424804688,4568.0,56.376953125,876087.3371582031
2024-03-14,SELL,171.96144104003906,4568.0,785576.2396240234,785576.2396240234
2024-06-13,BUY,213.2427520751953,3683.0,203.18373107910156,785576.2396240234
2025-04-07,SELL,181.2223663330078,3683.0,667645.1589355469,667645.1589355469
